BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
131,Australia,1950,F,15,999,1.51,46.72,27.00,46.13,21.74,5.70,2.83,8.11,5.32,2.62,0.17,3008,AUS,Advanced Economies
131,Australia,1955,F,15,999,1.27,41.58,22.83,50.77,23.23,6.46,2.97,8.44,5.37,2.88,0.19,3243,AUS,Advanced Economies
131,Australia,1960,F,15,999,1.05,37.27,19.68,54.55,24.67,7.19,3.30,8.73,5.41,3.11,0.21,3574,AUS,Advanced Economies
131,Australia,1965,F,15,999,0.81,33.37,17.22,57.85,25.83,7.97,3.62,9.01,5.47,3.31,0.23,4051,AUS,Advanced Economies
131,Australia,1970,F,15,999,0.77,24.51,12.49,65.21,29.58,9.48,4.35,9.64,5.59,3.77,0.28,4525,AUS,Advanced Economies
131,Australia,1975,F,15,999,1.40,14.65,7.05,72.07,35.39,11.88,5.55,10.34,5.69,4.30,0.35,4952,AUS,Advanced Economies
131,Australia,1980,F,15,999,0.90,5.90,3.00,78.87,40.51,14.33,6.79,11.11,5.86,4.82,0.42,5520,AUS,Advanced Economies
131,Australia,1985,F,15,999,0.94,6.77,3.29,76.76,40.84,15.53,8.01,11.13,5.84,4.82,0.47,6048,AUS,Advanced Economies
131,Australia,1990,F,15,999,0.78,6.10,3.06,74.91,41.28,18.21,10.04,11.25,5.86,4.82,0.57,6645,AUS,Advanced Economies
131,Australia,1995,F,15,999,0.82,5.55,2.89,72.16,40.56,21.47,12.34,11.36,5.87,4.81,0.68,7156,AUS,Advanced Economies
131,Australia,2000,F,15,999,0.77,5.00,2.74,69.82,40.30,24.42,14.36,11.48,5.89,4.82,0.78,7692,AUS,Advanced Economies
131,Australia,2005,F,15,999,0.75,4.28,2.52,67.69,39.98,27.28,16.18,11.65,5.90,4.88,0.87,8275,AUS,Advanced Economies
131,Australia,2010,F,15,999,0.91,3.56,2.24,63.96,39.11,31.58,18.85,11.97,5.98,4.97,1.01,8833,AUS,Advanced Economies
107,Austria,1950,F,15,999,2.37,94.27,58.09,2.78,2.47,0.58,0.28,3.45,3.18,0.26,0.02,2943,AUT,Advanced Economies
107,Austria,1955,F,15,999,2.14,93.93,58.21,3.30,2.75,0.63,0.29,3.51,3.20,0.29,0.02,2958,AUT,Advanced Economies
107,Austria,1960,F,15,999,1.96,90.79,57.26,6.51,5.10,0.74,0.34,3.80,3.25,0.52,0.02,3003,AUT,Advanced Economies
107,Austria,1965,F,15,999,2.82,79.55,52.34,16.70,12.73,0.92,0.43,4.62,3.34,1.25,0.03,3036,AUT,Advanced Economies
107,Austria,1970,F,15,999,3.16,69.55,46.79,26.16,19.13,1.12,0.53,5.35,3.42,1.90,0.03,3060,AUT,Advanced Economies
107,Austria,1975,F,15,999,1.26,64.66,44.36,32.69,22.94,1.40,0.67,5.92,3.54,2.34,0.04,3136,AUT,Advanced Economies
107,Austria,1980,F,15,999,0.10,59.97,42.39,38.53,25.93,1.42,0.67,6.38,3.64,2.69,0.04,3229,AUT,Advanced Economies
107,Austria,1985,F,15,999,0.29,54.92,39.35,41.72,27.78,3.22,1.67,6.82,3.68,3.04,0.10,3302,AUT,Advanced Economies
107,Austria,1990,F,15,999,0.50,49.83,35.96,45.47,30.18,4.20,2.35,7.20,3.70,3.36,0.13,3364,AUT,Advanced Economies
107,Austria,1995,F,15,999,0.75,44.06,32.55,47.96,31.82,7.22,4.22,7.74,3.74,3.77,0.23,3457,AUT,Advanced Economies
107,Austria,2000,F,15,999,0.79,39.63,29.54,49.77,32.37,9.81,5.84,8.15,3.77,4.07,0.31,3497,AUT,Advanced Economies
107,Austria,2005,F,15,999,0.80,35.33,26.49,52.68,32.19,11.20,6.72,8.44,3.79,4.29,0.36,3568,AUT,Advanced Economies
107,Austria,2010,F,15,999,0.79,32.43,24.55,54.15,36.13,12.64,7.61,8.84,3.81,4.62,0.41,3621,AUT,Advanced Economies
