BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
131,Australia,1950,F,25,999,1.28,50.39,29.64,42.61,21.00,5.79,3.09,7.95,5.31,2.47,0.18,2422,AUS,Advanced Economies
131,Australia,1955,F,25,999,1.13,45.82,26.38,46.46,21.94,6.69,3.43,8.26,5.35,2.70,0.20,2659,AUS,Advanced Economies
131,Australia,1960,F,25,999,1.03,41.95,23.31,49.77,23.35,7.34,3.80,8.51,5.38,2.90,0.22,2873,AUS,Advanced Economies
131,Australia,1965,F,25,999,1.00,39.30,20.99,51.57,24.06,8.13,4.24,8.67,5.39,3.03,0.25,3144,AUS,Advanced Economies
131,Australia,1970,F,25,999,0.90,30.10,15.51,59.00,27.86,10.00,5.30,9.33,5.51,3.52,0.31,3442,AUS,Advanced Economies
131,Australia,1975,F,25,999,1.23,18.87,9.48,68.19,34.88,11.72,6.31,10.13,5.64,4.13,0.36,3790,AUS,Advanced Economies
131,Australia,1980,F,25,999,1.10,7.50,3.80,77.40,41.27,14.00,7.59,11.02,5.82,4.76,0.43,4269,AUS,Advanced Economies
131,Australia,1985,F,25,999,1.18,7.64,3.61,76.03,41.93,15.15,8.89,11.08,5.81,4.79,0.48,4739,AUS,Advanced Economies
131,Australia,1990,F,25,999,0.95,6.57,3.10,75.86,43.25,16.62,10.33,11.27,5.84,4.90,0.54,5308,AUS,Advanced Economies
131,Australia,1995,F,25,999,0.77,6.07,2.91,74.76,43.22,18.40,11.76,11.42,5.86,4.96,0.60,5843,AUS,Advanced Economies
131,Australia,2000,F,25,999,0.63,5.57,2.76,72.85,43.24,20.95,13.59,11.50,5.88,4.93,0.69,6405,AUS,Advanced Economies
131,Australia,2005,F,25,999,0.70,5.13,2.68,69.09,41.88,25.07,16.38,11.63,5.88,4.91,0.83,6896,AUS,Advanced Economies
131,Australia,2010,F,25,999,0.66,4.23,2.37,66.03,41.33,29.08,19.04,11.79,5.90,4.93,0.96,7414,AUS,Advanced Economies
107,Austria,1950,F,25,999,2.72,93.91,56.39,2.78,2.72,0.59,0.31,3.43,3.14,0.27,0.02,2468,AUT,Advanced Economies
107,Austria,1955,F,25,999,2.45,93.80,56.64,3.10,2.91,0.65,0.33,3.47,3.16,0.29,0.02,2496,AUT,Advanced Economies
107,Austria,1960,F,25,999,2.21,93.79,57.45,3.30,2.94,0.70,0.36,3.51,3.18,0.31,0.02,2496,AUT,Advanced Economies
107,Austria,1965,F,25,999,3.23,80.87,51.68,14.99,12.59,0.90,0.46,4.49,3.29,1.18,0.03,2525,AUT,Advanced Economies
107,Austria,1970,F,25,999,3.75,70.55,46.13,24.60,19.69,1.10,0.57,5.25,3.36,1.86,0.03,2564,AUT,Advanced Economies
107,Austria,1975,F,25,999,1.50,66.00,43.91,31.21,23.81,1.29,0.69,5.84,3.50,2.30,0.04,2593,AUT,Advanced Economies
107,Austria,1980,F,25,999,0.10,61.70,42.14,36.60,26.90,1.60,0.85,6.32,3.60,2.67,0.05,2610,AUT,Advanced Economies
107,Austria,1985,F,25,999,0.10,56.27,39.01,41.03,29.04,2.79,1.61,6.77,3.66,3.03,0.09,2667,AUT,Advanced Economies
