BLcode,country,year,sex,agefrom,ageto,lu,lp,lpc,ls,lsc,lh,lhc,yr_sch,yr_sch_pri,yr_sch_sec,yr_sch_ter,pop,WBcode,region_code
131,Australia,1950,MF,25,999,1.31,48.24,28.06,35.90,18.34,14.57,9.47,8.48,5.32,2.68,0.48,4837,AUS,Advanced Economies
131,Australia,1955,MF,25,999,1.16,44.26,25.33,38.64,19.17,16.00,10.32,8.78,5.37,2.89,0.53,5327,AUS,Advanced Economies
131,Australia,1960,MF,25,999,1.04,40.32,22.38,41.26,20.42,17.44,11.34,9.08,5.40,3.10,0.58,5742,AUS,Advanced Economies
131,Australia,1965,MF,25,999,1.00,37.10,19.97,43.20,21.28,18.70,12.15,9.32,5.43,3.28,0.62,6242,AUS,Advanced Economies
131,Australia,1970,MF,25,999,0.90,29.30,15.37,48.30,24.01,21.50,13.97,9.94,5.53,3.70,0.71,6834,AUS,Advanced Economies
131,Australia,1975,MF,25,999,1.11,18.46,9.50,56.57,30.02,23.86,15.47,10.75,5.66,4.29,0.79,7494,AUS,Advanced Economies
131,Australia,1980,MF,25,999,1.00,7.80,4.10,64.84,35.58,26.36,17.13,11.59,5.83,4.89,0.87,8382,AUS,Advanced Economies
131,Australia,1985,MF,25,999,1.02,7.66,3.80,65.38,36.87,25.95,17.23,11.60,5.82,4.91,0.86,9297,AUS,Advanced Economies
131,Australia,1990,MF,25,999,0.82,6.31,3.17,66.79,38.73,26.08,17.28,11.73,5.86,5.01,0.87,10445,AUS,Advanced Economies
131,Australia,1995,MF,25,999,0.66,5.58,2.89,67.27,39.47,26.49,17.75,11.83,5.88,5.07,0.88,11351,AUS,Advanced Economies
131,Australia,2000,MF,25,999,0.54,4.88,2.64,66.84,40.10,27.73,18.58,11.86,5.90,5.03,0.93,12409,AUS,Advanced Economies
131,Australia,2005,MF,25,999,0.63,4.27,2.46,64.21,39.22,30.89,20.63,11.94,5.91,5.01,1.03,13384,AUS,Advanced Economies
131,Australia,2010,MF,25,999,0.61,3.39,2.11,62.28,38.95,33.73,22.35,12.04,5.93,5.00,1.12,14424,AUS,Advanced Economies
107,Austria,1950,MF,25,999,2.82,91.02,54.28,4.01,3.96,2.08,1.35,3.70,3.15,0.49,0.07,4406,AUT,Advanced Economies
107,Austria,1955,MF,25,999,2.50,90.94,54.66,4.35,4.14,2.15,1.38,3.75,3.17,0.51,0.07,4459,AUT,Advanced Economies
107,Austria,1960,MF,25,999,2.22,90.98,55.12,4.60,4.16,2.20,1.43,3.79,3.19,0.53,0.07,4453,AUT,Advanced Economies
107,Austria,1965,MF,25,999,3.65,71.93,45.95,22.01,18.79,2.37,1.54,5.23,3.33,1.82,0.08,4529,AUT,Advanced Economies
107,Austria,1970,MF,25,999,4.34,57.26,38.11,35.80,29.27,2.60,1.69,6.34,3.44,2.81,0.09,4636,AUT,Advanced Economies
107,Austria,1975,MF,25,999,1.68,52.89,36.06,42.48,33.31,2.95,1.91,6.96,3.60,3.27,0.10,4719,AUT,Advanced Economies
107,Austria,1980,MF,25,999,0.10,49.10,34.33,47.50,36.19,3.30,2.14,7.42,3.70,3.61,0.11,4759,AUT,Advanced Economies
